,SNID,time,flux,fluxerr,object_index,band_index,norm_factor
17,6968.0,-6.0,0.37740962397767425,0.004062891846279757,0,1,"[48.167007, 44.337547]"
20,6968.0,0.0,1.0,0.005425196130621112,0,1,"[48.167007, 44.337547]"
23,6968.0,6.0,0.3569594432138995,0.004010301906448121,0,1,"[48.167007, 44.337547]"
26,6968.0,12.0,0.11867977804807345,0.0033370011966905064,0,1,"[48.167007, 44.337547]"
29,6968.0,18.0,0.05853816493102841,0.0031443552222374955,0,1,"[48.167007, 44.337547]"
98,6968.0,-6.0,0.3393146219839361,0.0042293356914851424,0,0,"[48.167007, 44.337547]"
101,6968.0,0.0,1.0,0.005726128015156094,0,0,"[48.167007, 44.337547]"
104,6968.0,6.0,0.5039484029190879,0.004647630821795351,0,0,"[48.167007, 44.337547]"
107,6968.0,12.0,0.21771944216941003,0.003891630721022974,0,0,"[48.167007, 44.337547]"
110,6968.0,18.0,0.15518163420272213,0.003705981749509056,0,0,"[48.167007, 44.337547]"
189,1213.0,-6.0,-0.002391496732355936,0.0027379599281261518,1,1,"[51.805214, 41.85042]"
192,1213.0,0.0,1.0,0.0051768235143281145,1,1,"[51.805214, 41.85042]"
195,1213.0,6.0,0.675636085587833,0.004531917771828913,1,1,"[51.805214, 41.85042]"
198,1213.0,12.0,0.43961044152814427,0.003997781574649996,1,1,"[51.805214, 41.85042]"
201,1213.0,18.0,0.2897257214302792,0.003617875606111771,1,1,"[51.805214, 41.85042]"
290,1213.0,-6.0,0.902337300318611,0.005748727969755142,1,0,"[51.805214, 41.85042]"
293,1213.0,0.0,1.0,0.0059482342112695645,1,0,"[51.805214, 41.85042]"
296,1213.0,6.0,0.8867219970552267,0.005716183732445218,1,0,"[51.805214, 41.85042]"
299,1213.0,12.0,0.7363878785445881,0.005392826404131667,1,0,"[51.805214, 41.85042]"
302,1213.0,18.0,0.6070449950084132,0.005098232944854556,1,0,"[51.805214, 41.85042]"
382,4511.0,-6.0,0.5335654403957752,0.03787118858345247,2,1,"[3.935971, 21.229397]"
385,4511.0,0.0,1.0,0.039404731386486334,2,1,"[3.935971, 21.229397]"
388,4511.0,6.0,0.8325995542141952,0.03886131782983157,2,1,"[3.935971, 21.229397]"
391,4511.0,12.0,0.4120890880547647,0.03746150314623762,2,1,"[3.935971, 21.229397]"
394,4511.0,18.0,0.22752461844866237,0.03683031709329159,2,1,"[3.935971, 21.229397]"
477,4511.0,-6.0,0.7585800953272483,0.008965083181590132,2,0,"[3.935971, 21.229397]"
480,4511.0,0.0,1.0,0.009578343181391351,2,0,"[3.935971, 21.229397]"
483,4511.0,6.0,0.6999390985999273,0.008809679803905877,2,0,"[3.935971, 21.229397]"
486,4511.0,12.0,0.35821862486249617,0.007843078632897581,2,0,"[3.935971, 21.229397]"
489,4511.0,18.0,0.23386663314082826,0.0074603178790240724,2,0,"[3.935971, 21.229397]"
564,3864.0,-6.0,0.9054990344794029,0.06386281649677793,3,1,"[2.3348026, 11.976919]"
567,3864.0,0.0,1.0,0.06417892459088403,3,1,"[2.3348026, 11.976919]"
570,3864.0,6.0,0.5741076783107917,0.06274172814438359,3,1,"[2.3348026, 11.976919]"
